nohup: no se tendrá en cuenta la entrada
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: jfphlorecti (scigeo). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.5
wandb: Run data is saved locally in /home/tidop/projects/Noisy-Student/wandb/run-20241105_101647-p4ighlt6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Student Training Alabama ResUNet
wandb: ⭐️ View project at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training
wandb: 🚀 View run at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training/runs/p4ighlt6
MSE Loss: 3.2699, Lovasz Loss: 2.2110, BCE Loss: 2.1521
MSE Loss: 3.1252, Lovasz Loss: 2.0894, BCE Loss: 2.0558
MSE Loss: 3.1242, Lovasz Loss: 1.8313, BCE Loss: 1.6567
MSE Loss: 3.3550, Lovasz Loss: 1.5342, BCE Loss: 1.4540
MSE Loss: 3.0057, Lovasz Loss: 1.5428, BCE Loss: 2.0393
MSE Loss: 2.7971, Lovasz Loss: 1.4425, BCE Loss: 1.3773
MSE Loss: 3.0205, Lovasz Loss: 1.4647, BCE Loss: 1.4009
MSE Loss: 2.9966, Lovasz Loss: 1.3112, BCE Loss: 1.3418
MSE Loss: 2.7205, Lovasz Loss: 1.3245, BCE Loss: 1.3052
MSE Loss: 2.7773, Lovasz Loss: 1.2657, BCE Loss: 1.4184
MSE Loss: 2.6933, Lovasz Loss: 1.3109, BCE Loss: 1.2684
MSE Loss: 2.7067, Lovasz Loss: 1.2722, BCE Loss: 1.4092
MSE Loss: 2.9175, Lovasz Loss: 1.2894, BCE Loss: 1.2519
MSE Loss: 2.6575, Lovasz Loss: 1.1710, BCE Loss: 1.8940
MSE Loss: 2.6857, Lovasz Loss: 1.2377, BCE Loss: 1.7787
MSE Loss: 2.3545, Lovasz Loss: 1.2408, BCE Loss: 1.1680
MSE Loss: 2.4131, Lovasz Loss: 1.1864, BCE Loss: 1.1940
MSE Loss: 2.4495, Lovasz Loss: 1.1673, BCE Loss: 1.3783
MSE Loss: 2.2495, Lovasz Loss: 1.2149, BCE Loss: 1.2228
MSE Loss: 2.4442, Lovasz Loss: 1.1347, BCE Loss: 1.1322
MSE Loss: 2.3629, Lovasz Loss: 1.1115, BCE Loss: 1.1791
MSE Loss: 2.0638, Lovasz Loss: 1.1209, BCE Loss: 1.1121
MSE Loss: 2.2602, Lovasz Loss: 1.1882, BCE Loss: 1.1455
MSE Loss: 2.0029, Lovasz Loss: 1.1535, BCE Loss: 1.1606
MSE Loss: 2.1584, Lovasz Loss: 1.1017, BCE Loss: 1.0900
MSE Loss: 2.2117, Lovasz Loss: 1.1433, BCE Loss: 1.1525
MSE Loss: 2.2092, Lovasz Loss: 1.1164, BCE Loss: 1.1059
MSE Loss: 2.3144, Lovasz Loss: 1.1938, BCE Loss: 1.3397
MSE Loss: 2.4570, Lovasz Loss: 1.0900, BCE Loss: 1.1065
MSE Loss: 1.9296, Lovasz Loss: 1.1035, BCE Loss: 1.1404
MSE Loss: 1.9844, Lovasz Loss: 1.1198, BCE Loss: 1.0898
MSE Loss: 1.9396, Lovasz Loss: 1.2389, BCE Loss: 1.1090
MSE Loss: 2.2522, Lovasz Loss: 1.0687, BCE Loss: 1.0566
MSE Loss: 1.7804, Lovasz Loss: 1.1098, BCE Loss: 1.1188
MSE Loss: 1.9884, Lovasz Loss: 1.1072, BCE Loss: 1.1369
MSE Loss: 1.7750, Lovasz Loss: 1.1193, BCE Loss: 1.2275
MSE Loss: 1.9707, Lovasz Loss: 1.1969, BCE Loss: 1.1568
