tensor(251920.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(264730., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(239078.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(242176.6094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(245447.4531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(261363.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(233484.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(225937.7812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(241266.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(241664.1562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(240192.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(238694.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(228857.4531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(236917.6250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(232762.9375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(229028.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(234965.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(232001.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(232387.5469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(235260.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(233377.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(219568.5312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(218186.2812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(223095.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(187884.8281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(218746.0625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(190877.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(230478.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(216058.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(206096.5312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(192299.1562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(213193.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(204399.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(205725.2969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(188704.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(203675.6562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(184017.6406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(193285.3438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(190340.4531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(174024.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(200338.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(193060.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(183782.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(199172.4219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(184288.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(191319.1250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(190116.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(193194.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(181376.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(177575.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(183373.3594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(188103.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(189285.9375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(171997., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(173338.0625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(176531.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(181457.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(157578.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(171417.1250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(177677.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(170356.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(188297.7500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(177707.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(181101.4844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(182560.5469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(178234.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(180606.4844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(180630.2188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162417.7188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(160722.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(169289.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(173392.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(162556.0625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(177978.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(175848.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(167967.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(176689.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(176855.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(165941.2969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(173147.9531, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(187768.7500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
